cycle	score	consistency	profit_pct	trades_per_day	pass_count	status	note
0	0.160829	0.576316	7.043	4.656	4/12	keep	baseline
1	0.191696	0.613410	9.512	4.630	4/12	keep	promoted
2	0.229067	0.585222	10.058	6.936	3/12	keep	promoted
0	0.160829	0.576316	7.043	4.656	4/12	keep	baseline
1	0.170199	0.583153	8.804	4.590	3/12	keep	promoted
2	0.172242	0.577809	10.156	4.588	3/12	keep	promoted
3	0.480016	0.628911	16.350	15.860	1/12	keep	promoted
0	0.160829	0.576316	7.043	4.656	4/12	keep	baseline
0	0.160829	0.576316	7.043	4.656	4/12	keep	baseline
1	0.513460	0.600133	6.323	19.828	4/12	keep	promoted
0	0.151168	0.576316	7.043	4.658	0.060	4/12	keep	baseline
1	0.170085	0.605522	8.114	4.674	0.060	3/12	keep	promoted
2	0.212156	0.637323	7.162	5.610	0.060	4/12	keep	promoted
3	0.106817	0.593441	9.214	2.728	0.060	2/12	discard	no_improvement
4	0.223782	0.646182	9.783	5.550	0.060	2/12	keep	promoted
0	0.151168	0.576316	7.043	4.658	0.060	4/12	keep	baseline
1	0.170085	0.605522	8.114	4.674	0.060	3/12	keep	promoted
2	0.212156	0.637323	7.162	5.610	0.060	4/12	keep	promoted
3	0.106817	0.593441	9.214	2.728	0.060	2/12	discard	no_improvement
4	0.223782	0.646182	9.783	5.550	0.060	2/12	keep	promoted
5	0.107911	0.646182	9.783	1.852	0.060	2/12	discard	no_improvement
6	0.501408	0.621460	8.040	26.170	0.060	2/12	keep	promoted
7	0.499424	0.621874	7.404	28.202	0.060	2/12	discard	no_improvement
8	0.083798	0.621460	8.040	1.672	0.060	2/12	discard	no_improvement
9	0.500372	0.624987	7.224	28.134	0.060	2/12	discard	no_improvement
0	0.154221	0.576391	7.045	4.660	0.089	4/12	keep	baseline
1	0.173152	0.605621	8.117	4.676	0.089	3/12	keep	promoted
2	0.215211	0.637399	7.165	5.612	0.089	4/12	keep	promoted
3	0.108661	0.592073	9.059	2.732	0.089	2/12	discard	no_improvement
4	0.226883	0.646255	9.799	5.552	0.089	2/12	keep	promoted
5	0.110950	0.646255	9.799	1.852	0.089	2/12	discard	no_improvement
6	0.504502	0.621609	8.061	26.170	0.089	2/12	keep	promoted
7	0.502513	0.622015	7.425	28.168	0.089	2/12	discard	no_improvement
8	0.086891	0.621609	8.061	1.672	0.089	2/12	discard	no_improvement
9	0.503457	0.625134	7.243	28.110	0.089	2/12	discard	no_improvement
10	0.505996	0.616576	9.229	24.120	0.089	2/12	keep	promoted
11	0.080076	0.621216	7.124	1.564	0.089	2/12	discard	no_improvement
0	0.155894	0.577655	7.330	4.662	0.089	4/12	keep	baseline
1	0.175366	0.607307	8.497	4.678	0.089	3/12	keep	promoted
2	0.220006	0.641658	7.917	5.614	0.089	4/12	keep	promoted
3	0.108621	0.592011	9.059	2.732	0.089	2/12	discard	no_improvement
4	0.226848	0.646235	9.795	5.552	0.089	2/12	keep	promoted
5	0.110914	0.646235	9.795	1.852	0.089	2/12	discard	no_improvement
0	0.155894	0.577655	7.330	4.662	0.089	4/12	keep	baseline
1	0.175366	0.607307	8.497	4.678	0.089	3/12	keep	promoted
2	0.220006	0.641658	7.917	5.614	0.089	4/12	keep	promoted
3	0.108621	0.592011	9.059	2.732	0.089	2/12	discard	no_improvement
4	0.226848	0.646235	9.795	5.552	0.089	2/12	keep	promoted
5	0.110914	0.646235	9.795	1.852	0.089	2/12	discard	no_improvement
6	0.504447	0.621564	8.055	26.172	0.089	2/12	keep	promoted
7	0.502460	0.621973	7.419	28.172	0.089	2/12	discard	no_improvement
8	0.086836	0.621564	8.055	1.672	0.089	2/12	discard	no_improvement
9	0.503406	0.625090	7.237	28.108	0.089	2/12	discard	no_improvement
10	0.505938	0.616531	9.222	24.126	0.089	2/12	keep	promoted
11	0.080023	0.621172	7.118	1.564	0.089	2/12	discard	no_improvement
0	0.251629	0.628911	16.350	15.864	0.118	1/12	keep	baseline
1	0.286341	0.626604	17.124	17.298	0.118	1/12	keep	promoted
2	0.191036	0.482807	-1.179	17.256	0.118	0/12	discard	no_improvement
3	0.192726	0.493845	-0.374	16.870	0.118	0/12	discard	no_improvement
4	0.179116	0.484055	-1.969	17.346	0.118	0/12	discard	no_improvement
5	0.161778	0.497880	-0.313	15.068	0.118	0/12	discard	no_improvement
6	0.175821	0.421088	-0.844	17.290	0.118	0/12	discard	no_improvement
7	0.255670	0.626604	17.124	15.248	0.118	1/12	discard	no_improvement
0	0.255642	0.658798	11.195	15.756	0.118	2/12	keep	baseline
1	0.294761	0.657139	11.714	17.133	0.118	2/12	keep	promoted
2	0.281405	0.642545	11.036	17.122	0.118	1/12	discard	no_improvement
3	0.292238	0.654962	10.190	16.744	0.118	2/12	discard	no_improvement
4	0.286131	0.688689	15.084	17.128	0.118	1/12	discard	no_improvement
0	0.281147	0.657139	11.714	17.133	0.092	2/12	keep	baseline
1	0.283328	0.671734	12.391	18.489	0.092	1/12	keep	promoted
2	0.204588	0.459116	-5.354	18.478	0.092	0/12	discard	no_improvement
3	0.187722	0.410381	-4.573	18.006	0.092	0/12	discard	no_improvement
0	0.463921	0.612568	14.996	17.296	0.185	1/12	keep	baseline
1	0.451329	0.594391	10.024	24.778	0.185	1/12	discard	no_improvement
2	0.374887	0.415629	-1.029	18.710	0.185	0/12	discard	no_improvement
3	0.005186	0.374867	-2.955	3.830	0.185	0/12	discard	no_improvement
0	0.463566	0.612568	14.996	17.296	0.184	1/12	keep	baseline
1	0.450813	0.594391	10.024	24.772	0.184	1/12	discard	no_improvement
2	0.374530	0.415396	-1.066	18.710	0.184	0/12	discard	no_improvement
3	0.000633	0.374939	-2.953	3.834	0.184	0/12	discard	no_improvement
0	0.470415	0.616777	14.895	17.322	0.050	1/12	keep	baseline
0	0.470415	0.616777	14.895	17.322	0.050	1/12	keep	baseline
1	0.461564	0.598646	9.952	24.796	0.050	1/12	discard	no_improvement
2	0.382082	0.479004	-1.045	18.730	0.050	0/12	discard	no_improvement
3	-0.005230	0.376104	-2.908	3.838	0.050	0/12	discard	no_improvement
0	0.465673	0.602981	14.256	18.198	0.071	1/14	keep	baseline
1	0.465966	0.602563	12.372	23.528	0.071	1/14	keep	promoted
0	0.466389	0.602981	14.256	18.196	0.071	1/14	keep	baseline
1	0.466682	0.602563	12.372	23.528	0.071	1/14	keep	promoted
2	0.354650	0.602563	12.372	11.318	0.071	1/14	discard	no_improvement
3	0.453366	0.602563	12.372	24.238	0.071	1/14	discard	no_improvement
4	0.459320	0.609097	10.797	23.218	0.071	1/14	discard	no_improvement
0	0.549075	0.752157	24.242	17.660	0.071	2/14	keep	baseline
1	0.550700	0.752157	25.372	22.780	0.071	2/14	keep	promoted
2	0.408913	0.798251	25.544	11.160	0.071	1/14	discard	no_improvement
3	0.545278	0.759583	24.098	23.540	0.071	3/14	discard	no_improvement
4	0.548983	0.706521	29.698	22.460	0.071	3/14	discard	no_improvement
5	0.305767	0.792708	19.362	8.950	0.071	1/14	discard	no_improvement
6	0.556356	0.752951	26.506	22.010	0.071	2/14	keep	promoted
7	0.556915	0.745938	29.261	15.390	0.071	2/14	keep	promoted
8	0.556353	0.720091	15.420	15.380	0.071	2/14	discard	no_improvement
9	0.605014	0.723711	40.955	15.960	0.071	3/14	keep	promoted
10	0.544383	0.735938	38.421	19.030	0.071	2/14	discard	no_improvement
11	0.581331	0.695340	38.787	15.010	0.071	2/14	discard	no_improvement
12	0.204124	0.728040	48.264	3.570	0.071	2/14	discard	no_improvement
13	0.609690	0.718872	61.030	15.200	0.071	3/14	keep	promoted
14	0.530755	0.738353	60.224	14.310	0.071	2/14	discard	no_improvement
15	0.601606	0.717601	62.217	14.650	0.071	3/14	discard	no_improvement
16	0.555567	0.733993	44.276	20.130	0.071	2/14	discard	no_improvement
